"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2023","39,045.0","39,489.0","39,933.0","39,045.0","1.34M","-1.12%"
"02/08/2023","39,489.0","38,956.0","40,154.0","38,956.0","2.02M","1.60%"
"02/07/2023","38,868.0","39,933.0","40,243.0","38,779.0","1.77M","-2.67%"
"02/06/2023","39,933.0","38,424.0","39,933.0","38,069.0","1.97M","3.81%"
"02/03/2023","38,468.0","38,601.0","38,868.0","38,291.0","1.55M","0.46%"
"02/02/2023","38,291.0","37,936.0","38,690.0","37,359.0","3.23M","0.82%"
"02/01/2023","37,980.0","40,243.0","40,376.0","37,803.0","2.83M","-5.10%"
"01/31/2023","40,021.0","39,267.0","40,021.0","38,646.0","1.85M","1.35%"
"01/30/2023","39,489.0","39,045.0","39,844.0","39,045.0","1.36M","-0.11%"
"01/27/2023","39,533.0","41,264.0","41,352.0","39,489.0","1.95M","-3.05%"
"01/19/2023","40,776.0","40,021.0","41,086.0","39,888.0","1.87M","1.89%"
"01/18/2023","40,021.0","39,844.0","40,421.0","39,755.0","2.07M","0.33%"
"01/17/2023","39,888.0","39,933.0","40,199.0","39,578.0","1.69M","0.56%"
"01/16/2023","39,666.0","37,270.0","39,666.0","37,226.0","5.34M","6.94%"
"01/13/2023","37,093.0","36,915.0","37,448.0","36,915.0","1.84M","0.85%"
"01/12/2023","36,782.0","36,694.0","37,226.0","36,383.0","798.07K","0.48%"
"01/11/2023","36,605.0","36,915.0","37,448.0","36,294.0","1.73M","-0.12%"
"01/10/2023","36,649.0","36,915.0","37,004.0","36,161.0","1.04M","0.73%"
"01/09/2023","36,383.0","37,448.0","37,448.0","36,250.0","1.49M","-1.56%"
"01/06/2023","36,960.0","36,161.0","37,670.0","36,028.0","3.83M","2.21%"
"01/05/2023","36,161.0","36,383.0","36,472.0","35,717.0","1.32M","-0.12%"
"01/04/2023","36,206.0","36,560.0","37,448.0","35,851.0","2.33M","-0.97%"
"01/03/2023","36,560.0","34,874.0","36,560.0","34,653.0","1.95M","6.74%"
"12/30/2022","34,253.0","35,717.0","36,827.0","34,253.0","2.95M","-3.50%"
"12/29/2022","35,496.0","37,270.0","37,359.0","35,496.0","1.43M","-4.53%"
"12/28/2022","37,182.0","35,584.0","37,625.0","35,141.0","4.16M","4.75%"
"12/27/2022","35,496.0","34,431.0","35,496.0","34,342.0","1.69M","3.09%"
"12/26/2022","34,431.0","34,608.0","34,697.0","34,386.0","1.42M","-0.51%"
"12/23/2022","34,608.0","35,052.0","35,052.0","34,608.0","778.24K","0.00%"
"12/22/2022","34,608.0","34,475.0","35,407.0","34,386.0","1.51M","1.04%"
"12/21/2022","34,253.0","34,475.0","35,141.0","34,120.0","1.61M","0.26%"
"12/20/2022","34,165.0","34,431.0","34,608.0","33,277.0","1.86M","-0.77%"
"12/19/2022","34,431.0","34,431.0","35,939.0","34,431.0","2.16M","-0.25%"
"12/16/2022","34,519.0","34,298.0","35,052.0","34,298.0","1.13M","-0.26%"
"12/15/2022","34,608.0","34,253.0","35,362.0","34,253.0","1.65M","0.51%"
"12/14/2022","34,431.0","35,229.0","35,229.0","34,431.0","743.08K","0.26%"
"12/13/2022","34,342.0","33,765.0","35,052.0","33,765.0","1.92M","1.57%"
"12/12/2022","33,810.0","34,963.0","35,407.0","33,810.0","2.24M","-2.81%"
"12/09/2022","34,786.0","34,519.0","35,052.0","33,987.0","1.83M","0.51%"
"12/08/2022","34,608.0","34,786.0","36,560.0","34,431.0","3.08M","0.00%"
"12/07/2022","34,608.0","35,052.0","35,052.0","34,165.0","2.03M","-0.26%"
"12/06/2022","34,697.0","36,472.0","36,472.0","34,697.0","3.01M","-5.21%"
"12/05/2022","36,605.0","36,738.0","37,270.0","35,984.0","1.88M","0.12%"
"12/02/2022","36,560.0","34,608.0","36,649.0","34,564.0","1.69M","5.64%"
"12/01/2022","34,608.0","36,472.0","36,827.0","34,608.0","2.18M","-5.11%"
"11/30/2022","36,472.0","36,383.0","37,537.0","35,052.0","2.32M","0.24%"
"11/29/2022","36,383.0","35,052.0","36,383.0","34,475.0","2.87M","3.80%"
"11/28/2022","35,052.0","35,496.0","36,028.0","34,608.0","2.94M","-1.25%"
"11/25/2022","35,496.0","34,076.0","35,496.0","33,898.0","2.89M","5.26%"
"11/24/2022","33,721.0","33,011.0","34,076.0","32,656.0","2.02M","1.61%"
"11/23/2022","33,188.0","32,301.0","33,721.0","31,902.0","2.72M","2.61%"
"11/22/2022","32,345.0","30,704.0","32,612.0","30,704.0","2.38M","2.68%"
